Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-09-01 02:27 UTC,N/A,false,N/A,
Account Management: Maintaining Relationships,"Getting the sale is not the end of the sales process. Upselling, return business, network referrals, and so much more can be achieved when a salesperson continues to add value and develop a relationship after that first deal is closed. In this course, sales professional and prospecting coach Miles Croft helps you learn to continue relationship selling with all your existing customers, as well as recover from mistakes in delivery, whether they were your fault or not. Miles explains how account managers and other salespeople can develop connections with their prospects and customers after the initial sale has been made, to continue selling and expand your network even further. He presents a clear walk-through analysis of buying the perfect gifts, never letting a relationship “go rotten,” recovering from mistakes, and much more.  
 
Note: This course was created by Miles Croft. We are pleased to host this training in our library.",Course,2023-02-13 20:54 UTC,N/A,false,N/A,
SQL Server Database Triggers,"SQL Server database triggers help database developers automate routine tasks. Triggers wait for an activating event to occur, then immediately respond with preprogrammed operations. This course, from database expert Adam Wilbert, takes a deep dive into leveraging these powerful and flexible components of a SQL Server database. Follow along and learn how to create and deploy different types of triggers, and get hands-on experience using triggers to solve common problems, such as timestamping data changes or collecting information about table events. Adam also helps you manage your database triggers: enabling, disabling, and reordering triggers as necessary. Plus, follow along with a hands-on project in chapter six, which uses triggers to perform tasks automatically in an inventory management system, such as updating inventory when new product is received.",Course,2023-03-24 22:50 UTC,N/A,false,N/A,
Learning Design Thinking: Lead Change in Your Organization,"Design thinking is a user-centered way of solving problems. It involves extensive collaboration, using strategies such as mapping customer journeys, concept creation, and prototyping. This course teaches leaders how to help their teams adopt a design thinking mindset, and provides examples from author Turi McKinley's work at frog, a global design and strategy firm that transforms businesses at scale by creating systems of brand, product, and service.<br><br>

The course opens with a definition of design thinking, including the roles and spaces required for success. You will then learn how to be a good design thinking leader, with specific advice on topics from setting goals to engaging the different skill sets and personalities in the room (introverts and extroverts alike). Next, Turi dives into creative collaboration: the heart of design thinking. She covers planning, research, and concept creation, and explains how to create a ""service blueprint"" that will help make the design a reality. Chapter 4 introduces prototyping techniques to advance the design.<br><br>
Design thinking is all about collaboration so we've integrated a LinkedIn Group called ""Design Thinking: frog + Lynda.com course."" Throughout the course, the author will suggest opportunities for you to share what you're learning. You'll be able to participate in course-related discussions through your web browser at <a href=""https://linkedin.com/groups/7022790"" target=""blank"">https://linkedin.com/groups/7022790</a> or via the LinkedIn Groups app, which is available for most smartphones. This is a great way to expand your learning and get additional insights from other members taking the course.",Course,2020-05-25 17:05 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6481481946697388032?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Career Development Newsletter</a></div><br>What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-12-30 19:14 UTC,N/A,false,N/A,
Spark for Machine Learning & AI,"Apache Spark is one of the most widely used and supported open-source tools for machine learning and big data. In this course, discover how to work with this powerful platform for machine learning. Instructor Dan Sullivan discusses MLlib—the Spark machine learning library—which provides tools for data scientists and analysts who would rather find solutions to business problems than code, test, and maintain their own machine learning libraries. He shows how to use DataFrames to organize data structure, and he covers data preparation and the most commonly used types of machine learning algorithms: clustering, classification, regression, and recommendations. By the end of the course, you will have experience loading data into Spark, preprocessing data as needed to apply MLlib algorithms, and applying those algorithms to a variety of machine learning problems.",Course,2019-09-21 19:04 UTC,N/A,false,N/A,
Tableau Essential Training (2020.1),"Tableau is a widely used data analytics and visualization tool that many consider indispensable for data-science-related work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn what you need to know to analyze and display data using Tableau 2020—and make better, more data-driven decisions for your company. Discover how to install Tableau, connect to data sources, and sort and filter your data. Instructor Curt Frye also demonstrates how to create and manipulate data visualizations—including highlight tables, charts, scatter plots, histograms, maps, and dashboards—and shows how to share your visualizations. Along the way, he highlights the new features packed into this edition of the software, including Viz Animations, which allows you to visually follow the movement of marks in a data visualization to see and understand your changing data.",Course,2021-01-15 07:41 UTC,N/A,false,N/A,
SQL Data Science Code Challenges,"Want to test—and develop—your SQL data-engineering skills? Do you fancy yourself pretty skilled at SQL and want to see just how sharp you are? Then check out this installment of the <i>Code Challenges</i> series, as instructor Harshit Tyagi presents a number of challenges requiring you to write SQL queries to solve problems and answer questions. The challenges start at a relatively low level of difficulty—column selection, filtering rows from data, sorting and grouping query results—and get progressively tougher, testing you on topics like handling missing and invalid data, calculating moving window average, and data transformations. The challenges are all a few minutes long, and use a single database, so you can jump around from challenge to challenge or watch the entire course. So, if you want to see if you’re equal to the tasks, try out these SQL challenges.",Course,2022-04-01 00:25 UTC,N/A,false,N/A,
How to Land Job Interviews without Applying Online,"Applying online is a tough way to land a job, in today’s market. The data shows us that fewer than 2% of candidates who apply online actually get in the door for an interview. So what should you do instead? In this course, Austin Belcak walks you through the steps you can take to generate a steady pipeline of interviews at your target companies — without submitting a single online application! Austin shows you a new approach to job searching that focuses on generating referrals, instead of applying online. He explains ways you can apply this approach directly on LinkedIn, as well. This approach allows you to have more control over landing a job at one of the companies that you really want to work for, and it improves your chances of landing interviews and offers at those companies, without the endless online applications!",Course,2023-07-30 14:57 UTC,N/A,false,N/A,
Functional Programming with Python,"Functional programming offers developers a more effective way of writing readable, maintainable code. In this course, Shaun Wassell helps Python developers get up to speed with this increasingly popular programming paradigm, explaining what it is and how adopting it can help you improve the quality and maintainability of your code. Shaun begins by covering the key differences between the declarative and imperative programming paradigms. He then dives into the basics of working with first-class functions in Python, as well as the built-in functions and features in Python that support functional programming. Plus, he goes over several advanced concepts, including partial application and recursion.",Course,2022-05-02 22:08 UTC,N/A,false,N/A,
Certified Information Security Manager (CISM) Cert Prep (2022): 1 Information Security Governance,"Prepare for the first domain of the Certified Information Security Manager (CISM) exam: Information Security Governance. CISM certification validates your expertise in information security. A key part of that is governance, which ensures your team's work is aligned with business objectives and external requirements. This course covers all the material in the domain, including implementing an information security strategy, developing a governance framework, and integrating that framework into corporate governance practices. Instructor Mike Chapple also covers developing policies, business cases, and other key components of a security governance program.",Course,2022-07-24 20:21 UTC,N/A,false,N/A,
Using Python for Automation,"In any organization, there are tasks that would benefit from automation, but often the processes are too niche for standard software. Python is an easy-to-learn programming language that allows organizations to script custom automation and reap the time-savings. In this course, you can learn how to automate your own repetitive tasks using Python. This course provides a “cookbook” for developers and non-developers alike, allowing you to automate almost anything: from filling out PDFs and launching programs, to sending emails and voicemails, working with calendars, and organizing files and folders. Discover how to use Python and open-source libraries and tools such as Beautiful Soup and Selenium to craft elegant solutions that do the grunt work for you.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2020-11-08 18:23 UTC,N/A,false,N/A,
Data Visualization in Python with Dash,"Data is everywhere. It’s fundamental to your business process. It allows you to make sound, well-informed decisions driven by evidence, not just conjecture. But how should you represent it? The answer depends, especially when you’re working with stakeholders who don’t have a technical background. That’s where Dash comes in. It’s a powerful and easy-to-use data visualization tool that can help you make optimal strategic decisions.<br><br>In this course, instructor Robin Andrews gives you an overview of everything you need to know to get started using Dash with Python. Discover how to build powerful and attractive data visualizations. Learn about creating plots, styling applications, and adding user interactivity to cultivate more responsive, data-driven relationships. Robin explores strategies to help you get the most out of the Dash experience, and shows you how to deploy your Dash apps to the cloud using Heroku.",Course,2022-03-10 05:20 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-12-15 07:03 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2020-12-27 16:40 UTC,N/A,false,N/A,
Illustrator 2021 Essential Training,"Illustrator can be used to accomplish many different design tasks. For this reason, <i>Illustrator 2021 Essential Training</i> teaches core concepts and techniques that can be applied to any workflow for print, the web, or assets that will find their way into other applications. Instructor Tony Harmer covers the essentials of Illustrator 2021, including artboards, workspaces, layers, and shapes. Tony discusses vector graphics—paths, strokes, and fills—and shows how to use each of the drawing tools in Illustrator. He demonstrates how to combine and clean up paths, and organize them into groups and layers. Tony also covers text editing, working with color, expressive brush drawing, effects, and much more.",Course,2022-06-26 19:55 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2023-06-02 10:22 UTC,N/A,false,N/A,
Satellite Internet and Communications: Fundamentals,"As the need to be connected becomes increasingly necessary in the modern world, satellite internet and communications have become a key part of global telecommunications infrastructure. Unlike cellular service, satellite communications services can provide service anywhere on earth, including hard-to-reach and underserved areas. In this course, Ryan Hu covers the fundamentals of modern satellite communications and the new opportunities this technology makes possible. He explores the principles, architectures, and emerging technologies of satellite communications and networks with easy-to-understand, real-world examples. If you’ve ever wondered how satellite and internet communications work, join Ryan to learn about the future trends for next-generation telecommunications.",Course,2022-11-09 17:12 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2022-12-27 20:44 UTC,N/A,false,N/A,
Advanced Python: Working with Databases (2020),"To create functional and useful Python applications, you need a database. Databases allow you to store data from user sessions, track inventory, make recommendations, and more.  However, Python is compatible with many options: SQLite, MySQL, and PostgreSQL, among others. Selecting the right database is a skill that advanced developers are expected to master. This course provides an excellent primer, comparing the different types of databases that can be connected through the Python Database API. Instructor Kathryn Hodge teaches the differences between SQLite, MySQL, and PostgreSQL and shows how to use the ORM tool SQLAlchemy to query a database. The final chapters put your knowledge to practical use in two hands-on projects: developing a full-stack application with Python, PostgreSQL, and Flask and creating a data analysis app with pandas and Jupyter Notebook. By the end, you should feel comfortable creating and using databases and be able to decide which Python database is right for you.",Course,2021-06-06 08:30 UTC,N/A,false,N/A,
Machine Learning with Python: Logistic Regression,"Are you looking for a practical way to use machine learning to solve complex real-world problems? Logistic regression is an approach to supervised machine learning that models selected values to predict possible outcomes. In this course, Notre Dame professor Frederick Nwanganga provides you with a step-by-step guide on how to build a logistic regression model using Python. Learn hands-on tips for collecting, exploring, and transforming your data before you even get started. By the end of this course, you’ll have the technical skills to know when and how to design, build, evaluate, and effectively manage a logistic regression model all on your own.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2023-03-20 13:32 UTC,N/A,false,N/A,
Deep Learning: Image Recognition,"Thanks to deep learning, image recognition systems have improved and are now used for everything from searching photo libraries to generating text-based descriptions of photographs. In this course, learn how to build a deep neural network that can recognize objects in photographs. Find out how to adjust state-of-the-art deep neural networks to recognize new objects, without the need to retrain the network. Explore cloud-based image recognition APIs that you can use as an alternative to building your own systems. Learn the steps involved to start building and deploying your own image recognition system.",Course,2023-01-12 16:43 UTC,N/A,false,N/A,
Quick Start Guide to SQL,"Are you looking to take a deeper dive into the fundamentals of structured query language (SQL)? This short, beginner-friendly course is just the place to start. Join instructor Deepa Maddala as she walks you through the basics of SQL and how to make it work seamlessly with large Oracle datasets.<br><br>Learn about relational database management systems, SQL, and how it works. Explore strategies that you can put to use fetching data from tables, filtering data, and manipulating data with single-row and multiple-row functions, as well as joins and subqueries. By the end of this course, you’ll not only have a deeper understanding of the basic concepts of SQL—you’ll also be ready to get started working on real-time business scenarios.",Course,2023-02-28 07:48 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling Gears,"Do you need to design and build gears for work, study, or a hobby? In this course, instructor Ryan Krawchuk covers the basics of mechanical gears, gives a hands-on lesson on modeling a spur gear using SOLIDWORKS, and then describes how to create a simple assembly. Ryan begins with a description of spur gears, helical gears, and others gears, as well as their respective applications. He covers key gear design attributes and nomenclature. Ryan steps you through spur gear equations, for both metric and English measurement systems, then goes through each step in modeling a spur gear. Once your gear model is complete, he shows you how to design the mounting plate that gears sit on, how to insert gears and mounting plates into your assembly, and how to use concentric and coincident gear mates. He discusses how to use a series of gear mates to allow gears to rotate dynamically to one another, then concludes by showing you how to animate your assembly with a SOLIDWORKS motion study.",Course,2021-04-24 09:23 UTC,N/A,false,N/A,
Nano Tips to Stop Overthinking with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets of living your life without the burden of overthinking, using key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Learn how to stop picking apart or criticizing everything you say and do. Discover practical strategies to develop a mindset that doesn’t prevent you from achieving your goals. Find out more about how overthinking can be so detrimental to your career, your relationships, and your personal and professional life. Along the way, Shadé shows you how to gear yourself up for more positive thinking to move from worry to action with ease.",Course,2023-01-18 00:02 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-09-23 16:09 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2021-01-03 05:13 UTC,N/A,false,N/A,
A Day In The Life of a Data Scientist,"The best way to understand what it's actually like to work as a data scientist is to spend the day with one. In this course, you can follow along with one day in the life of real data scientists working on real projects. Explore exactly what data science work looks like—getting on-the-job insights to help prepare you to tackle the next challenge or choose your next data science role. Discover how working professionals handle time management, starting from the very first hour of the workday, and tackle major tasks, such as exploring the data, mitigating bias, and presenting their findings. Another thing that separates pros from the rest is process and in chapter three, you can see how data scientists build automation, cross-functional collaboration, and other techniques into their workflows. Plus, learn how to choose and use tools, structure and work well in teams, and serve your clients.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-05-15 04:32 UTC,N/A,false,N/A,
Learning Python GUI Programming,"Learn how to create effective graphical user interfaces (GUIs) with minimal code using Python. Burkhard Meier starts by showing how to create a GUI form, add widgets, manage the resulting layout, and customize the look and feel of the interface. Then, he takes you through working with data, classes, and making charts using the 2D Python plotting library, Matplotbil. Next, he discusses how threading and networking impact the performance of your code. Later in the course, he advances on to working with databases, testing application GUIs, extending a GUI using the wxPython library, and creating 3D GUIs by using PyOpenGL and Pyglet. As you follow along with Burkhard throughout this course, you will develop an entire application's GUI.<br><br>Note: This course was created by Packt Publishing. We are pleased to host this training in our library.",Course,2019-08-28 14:37 UTC,N/A,false,N/A,
Social Media Monitoring: Strategies and Skills,"<div><a href=""https://www.linkedin.com/newsletters/6642894648903823360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Martin's LinkedIn Newsletter</a></div><br>Social media can provide your company with a wealth of information about what your customers—and competitors—really think about your organization. In this course, learn how to incorporate social media monitoring into your organization's marketing strategy. Join digital and social media strategist Martin Waxman as he compares key social listening and monitoring apps and describes what each can do for your business, as well as how to make platforms like Hootsuite your social listening command center. He demonstrates how to use social media monitoring for customer service, to find influencers, and to discover insights that could lead to new products and opportunities. And he shows you how to identify issues and crisis situations where your company's reputation may be at stake.",Course,2022-09-21 02:51 UTC,N/A,false,N/A,
Applied Machine Learning: Algorithms,"In the first installment of the <i>Applied Machine Learning</i> series, instructor Derek Jedamski covered foundational concepts, providing you with a general recipe to follow to attack any machine learning problem in a pragmatic, thorough manner. In this course—the second and final installment in the series—Derek builds on top of that architecture by exploring a variety of algorithms, from logistic regression to gradient boosting, and showing how to set a structure that guides you through picking the best one for the problem at hand. Each algorithm has its pros and cons, making each one the preferred choice for certain types of problems. Understanding what actually drives each algorithm, as well as their benefits and drawbacks, can give you a significant competitive advantage as a data scientist.",Course,2021-06-01 04:14 UTC,N/A,false,N/A,
Electronics Foundations: Basic Circuits,"As is the case with many technical projects, it's possible to assemble an electronic circuit without really understanding the different parts involved—you can just connect components together to match an electronic schematic. That said, in order to debug an existing circuit—or design your own—you have to actually understand how the individual electrical components work and how to use them together. In this course, join electrical engineer Barron Stone as he shares the knowledge and tools you need to learn exactly that. Barron demonstrates how to build basic circuits using resistors, capacitors, and inductors. He dives into how each component works and shows the common circuits that use them. He explains the difference between alternating current and direct current and how to use an oscilloscope to view electrical signals. Then, he demonstrates building passive filter circuits to remove unwanted frequency components from those signals.",Course,2020-04-07 09:59 UTC,N/A,false,N/A,
Parallel and Concurrent Programming with C++ Part 1,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously. It increases the overall processing throughput and is key to writing faster and more efficient applications. This training course introduces the basics of concurrent and parallel programming in C++, providing the foundational knowledge you need to write more efficient, performant code. Instructors Barron and Olivia Stone explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using C++. Each lesson is short and practical, driving home the theory with hands-on techniques.",Course,2022-11-22 21:08 UTC,N/A,false,N/A,
SQL for Data Analysis (2020),"If you’re looking to get Structured Query Language into your application development, but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions of your data, as well as how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Microsoft Power BI to help bring you data to life.",Course,2022-06-10 18:45 UTC,N/A,false,N/A,
Python: Working with Predictive Analytics,"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2022-05-01 18:49 UTC,N/A,false,N/A,
Learning SnowflakeDB,"Are you in the process of trying to scale your business but bumping up against storage and capacity limits? Rather than shelling out more resources for expensive hardware and software licenses, consider Snowflake, the popular data warehouse and data management platform with unique data exchange capabilities for your business. Join instructor Lynn Langit and learn about how to use Snowflake—the power of the cloud awaits you.<br><br>Discover why Snowflake is one of the most rapidly growing cloud-based data management platforms in the industry. Explore the features and functions of the platform, what Snowflake does, how it works, and how to get the most out of its data storage and query processing power with hands-on examples, demos, and scenarios along the way. Lynn gives you tips and techniques for account management, authentication, security protocols, architectural patterns, the data life cycle, and more.",Course,2023-01-11 07:00 UTC,N/A,false,N/A,
Learning VBA in Excel,"The Visual Basic for Applications (VBA) programming language allows you to automate routine tasks in Excel—and it's not as hard to learn as most people think. In this course, Excel expert Curt Frye offers a crash course on VBA, sharing techniques that can help users of Excel 2007 or later get more out of this powerful program. Curt covers creating subroutines and functions to hold code, and provides a solid grounding in the Excel object model. Programming techniques are demonstrated through real-world examples. Exercise files accompany the course.",Course,2020-11-22 05:21 UTC,N/A,false,N/A,
SQL Essential Training (2018),"Whatever database application you create—whether it's for bookkeeping, sales, inventory, or even the lowly to-do list—it's all about the data. Completely updated for 2018, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple and complete database application using SQL.",Course,2019-08-23 20:57 UTC,N/A,false,N/A,
Presenting to Senior Executives,"<div><a href=""https://www.linkedin.com/newsletters/6765070600055635968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Tatiana's LinkedIn Newsletter</a></div><br>Exposure to senior executives (also known as the C suite) can change the trajectory of your career. If you’re presenting to this audience, you need to navigate unique challenges, like getting their attention and garnering action. In this course, learn methods you can use to communicate your message effectively to these key decision makers, resulting in buy-in and response. Discover the value of brevity and the importance of conveying the return on investment (ROI). Learn how to handle challenging questions, frame your message, harness the power of story, and use a high-level approach. Explore how to navigate the unexpected, from interruptions and tech failures to re-engaging the distracted. Additionally, find out how to demonstrate competence, earn credibility, and generate results by making the most of your presentation opportunity.",Course,2023-06-21 12:00 UTC,N/A,false,N/A,
Advanced Python: Working with Databases,"To create functional and useful Python applications, you need a database. Databases allow you to store data from user sessions, track inventory, make recommendations, and more.  However, Python is compatible with many options: SQLite, MySQL, and PostgreSQL, among others. Selecting the right database is a skill that advanced developers are expected to master. This course provides an excellent primer, comparing the different types of databases that can be connected through the Python Database API. Instructor Kathryn Hodge teaches the differences between SQLite, MySQL, and PostgreSQL and shows how to use the ORM tool SQLAlchemy to query a database. The final chapters put your knowledge to practical use in two hands-on projects: developing a full-stack application with Python, PostgreSQL, and Flask and creating a data analysis app with pandas and Jupyter Notebook. By the end, you should feel comfortable creating and using databases and be able to decide which Python database is right for you.",Course,2023-07-26 17:53 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2022-08-06 14:04 UTC,N/A,false,N/A,
Word Essential Training (Microsoft 365),"Learn how to create, edit, format, and share documents with ease using the Microsoft 365 subscription version of Word. Follow along with instructor David Rivers as he gives you an overview of all the essential features of the powerful and ubiquitous word processing app from Microsoft. This course covers how to edit and format text to create a stylish document with instant purpose. Find out how to leverage templates and built-in tools, create numbered and bulleted lists, work with columns and tables, add images to your documents, collaborate on documents with your team, and share documents via OneDrive and email. Along the way, discover how to use and manage the word proofing tools to check spelling and grammar, and get the most out of the latest features of Word for M365, such as Editor, Copilot, and more.",Course,2023-01-23 17:40 UTC,N/A,false,N/A,
Python for Non-Programmers,"Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.<br><br>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.",Course,2022-12-27 01:21 UTC,N/A,false,N/A,
C++ Game Programming 1,"Get a fun introduction to the world of game programming with C++. This course teaches the basics of game development with C++ and the OpenGL-powered Simple and Fast Multimedia Library (SFML), using three fully playable sample games: an addictive two-button tapper, a multilevel zombie survival shooter, and a split-screen multiplayer puzzle. Instructor John Horton starts with the very basics of programming, including variables, loops, and conditions. Become more skillful with each game as you move through the key C++ topics, such as object-oriented programming, C++ pointers, and the Standard Template Library. While building these games, you can also learn exciting game programming concepts like collision detection, sprite sheets, views, the HUD (heads-up display), and more.<br><br>

This course was created and produced by Packt Publishing. We are honored to host this training in our library.",Course,2019-09-24 02:25 UTC,N/A,false,N/A,
